Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
DATA SCIENTIST,Employer Provided Salary:$102K - $110K,"DATA SCIENTIST
Job Number: 06A6-CDPH-2022
Description

JOB ANNOUNCEMENT
DATA SCIENTIST
Number of Positions: 1
Mission: To promote and improve health by engaging residents, communities, and partners in establishing and implementing policies and services that prioritize residents and communities with the greatest need.",4.3,"City of Chicago
4.3","Chicago, IL",10000+ Employees,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$336K - $384K,"Role + Responsibilities
(Can Be Remote)
Continuously assess fit to introduce and implement Industry 4.0 opportunities to the Endress+Hauser organization, as well as digital products & services as they relate to data and analytics (e.g., artificial intelligence, machine learning, digital data exchange, big data analytics).
Identify, lead, and support opportunities to expand and improve suite of digital tools, internal workflow automation and optimization, sales enablement, and stakeholder communication (e.g., Salesforce.com, Endress.com, SAP).
Research, visualize, articulate, solve problems, and implement solutions and key metrics to be monitored.",4.1,"Endress+Hauser Inc.
4.1","Ann Arbor, MI",10000+ Employees,1968,Company - Private,Industrial Manufacturing,Manufacturing,$2 to $5 billion (USD)
Data Scientist,Employer Provided Salary:$70K,"· Ideal candidate should have a degree in a quantitative field (e.g., mathematics, computer science, physics, economics, engineering, statistics, operations research, quantitative social science, etc.).
· Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.
· Basic Knowledge on software development principles and architecture.
· Good analytical and problem-solving abilities.
· Ability to break down and understand complex business problems, define a solution and implement it using advanced quantitative methods.
· Familiarity with programming for data analysis; ideally Python, SQL, or R.
· Solid oral and written communication skills, especially around analytical concepts and methods.
· Great work ethic and intellectual curiosity.
· Knowledge of Cloud technologies such as AWS or Google Cloud.
· Knowledge of any relational database such as My SQL.
· Must be a team player with excellent communication and problem-solving skills and have experience working with customers across teams.'
'
Work Location:",-1,Cognowiz solutions LLC,"Herndon, VA",-1,-1,-1,-1,-1,-1
Data Scientist,$67K - $128K (Glassdoor est.),"Data Scientist
Pleasant Grove, UT, USA
Full-time
The Opportunity
Pura, based in Pleasant Grove, UT, has been revolutionizing self-care and iOT (internet of things) connected experiences in homes for the past several years. We obsess over providing world-class experiences for our customers, partners, and vendors. We're looking for candidates who are committed to Human-Centered design & delivery. We pride ourselves on maintaining a team-based culture, quality, innovation, and continuous growth and development! Our teams build and maintain apps, services, fragrances, and devices that power all of the connected experience platforms for Pura customers internal and external.
We are currently hiring a Data Scientist to join our growing Product team. We are looking for an experienced data scientist who loves solving problems, building predictive models and enabling exceptional customer experiences.
This person will help enable a data-first product culture and will identify valuable data sources, automate collection processes and build predictive models and machine learning algorithms.. They will work closely across multiple product teams to help provide insights and opportunities in our product experience.",4.7,"Pura
4.7","Pleasant Grove, UT",1 to 50 Employees,-1,-1,-1,-1,-1
Data Scientist (WFH),Employer Provided Salary:$85K - $130K,"As a data scientist, you will be responsible for: * Performing statistical analysis on the data * Analyzing data, using various techniques and prepare data for model building * Creating data science models from various data available * Scaling models using commercial and open-source technologies * Monitoring data science models and analyzing the model performances * Reporting your finding through various mediums * Collaborating with multiple stakeholders to solve business problems and help in data driven decision making * Bringing out the innovative ideas and offerings on TTH businesses using Data and AIML Skills required: * Programming – Python, SQL, R, Java * Machine Learning – Supervised, Unsupervised learning, Computer Vision, NLP, Deep Learning * Data Visualization – Python, Java & R libraries, D3.js, SAS, Tableau * Big data and Cloud – NoSQL DBs, Azure, AWS, GCS. ML products and services from the cloud providers especially.",3.6,"spar information systems
3.6","Los Angeles, CA",201 to 500 Employees,2012,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Data Scientist,Employer Provided Salary:$117K,"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Analytics is a competitive differentiator for Nike and is fundamentally changing how the company serves athletes and consumers around the world. The Nike Commercial Analytics team builds analytic-based solutions to manage marketplace and optimize the supply chain. Using big data, advanced analytics and state-of-the-art technology, the team strives to ensure that Nike gets the right product to the right place at the right time for the consumers.",4.2,"Nike
4.2","Beaverton, OR",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
"Data Scientist, Spotify For Artists",$71K - $173K (Glassdoor est.),"Data, Research & Insights
Data Science
Spotify for Artists is the destination for artists and their teams to understand their fans and reach their goals. We give artists the insights and tools they need to connect with their fans and establish a meaningful career on their own terms.
Location
New York or Remote Americas
Job type
Permanent
The Music Product Insights Team is a growing insights community of 30+ Data Scientists and User Researchers who blend their skills to help us craft the next generation of music industry products, bringing insights into every decision we make.",4.2,"Spotify
4.2","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Climate Data Scientist,$79K - $157K (Glassdoor est.),"About ClimateAi
ClimateAi is on a mission to accelerate resilience in food, water, and energy. The company has launched the first of its kind Resilience-as-a-Service platform in agriculture to help supply chains adapt to climate change. The company was founded at Stanford University and is backed by top VC firms. We are a fast-growing Series-A company looking for passionate individuals who will create solutions for the most important issue of our time.

Culture",5.0,"ClimateAI
5.0","San Francisco, CA",1 to 50 Employees,-1,-1,-1,-1,-1
REMOTE - Data Scientist,$65K - $114K (Glassdoor est.),"Responsible for leveraging data to provide insights and information that support a fact-based decision making process. Work with Finance partners to close data visibility gaps, add automation and reproducibility to routine analyses, and recommend appropriate approaches to key business and financial modeling activities.
Use analytical and statistical methods to analyze large amounts of data, extracting actionable insights using advanced techniques such as data analysis, data mining, optimization tools, and machine learning.
Develop and deploy predictive models based on historical data that provide future predictions of performance or behavior.
Validate and refine model assumptions with statistical analysis and testing.",3.8,"Labcorp
3.8","Westborough, MA",10000+ Employees,1978,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD)
data scientist -Remote,$82K - $169K (Glassdoor est.),"Job Posting
: Feb 12, 2022
Job Posting End Date
: Mar 14, 2022
Location
: US-WA-Seattle-Starbucks Support Center
Is this role eligible for remote or hybrid work? : Yes-Remote
Starbucks - Business Strategy",3.8,"Starbucks
3.8","Seattle, WA",10000+ Employees,1971,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD)
Data Scientist I,$82K - $149K (Glassdoor est.),"Our Purpose
We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a culture of inclusion for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.
Data Scientist I
Who is Mastercard?

We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of Priceless®. We ensure every employee has opportunity to be a part of something bigger and to change lives. We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.

Mastercard Launch is a full-time graduate development program designed to build the skills we leverage most as an innovator in the payments space, connects employees in enriching ways, and immerses new talent into our Doing Well by Doing Good culture. This program is meant for those who dare to be greater and those who wish to make a real impact in the world. Eligibility requires degree completion of a bachelor’s or master’s degree in Fall 2021 or Spring 2022.



Data Scientist Overview:


Responsibilities

All about You:
In the US, Mastercard is an inclusive Equal Employment Opportunity employer that considers applicants without regard to gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law. If you require accommodations or assistance to complete the online application process, please contact reasonable_accommodation@mastercard.com and identify the type of accommodation or assistance you are requesting. Do not include any medical or health information in this email. The Reasonable Accommodations team will respond to your email promptly.",4.2,"MasterCard
4.2","O'Fallon, MO",10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,$5 to $10 billion (USD)
Data Scientist,-1,"At HSBC, the health and well-being of our employees remains of utmost importance. Many of our roles are permitted to work from home (in states in which HSBC is licensed to operate) until further notice. Upon resumption of normal operations, this role may be performed at our New York, New York office.

At HSBC, the Wholesale Data & Analytics team is part of the Wholesale COO team a key driver in building the bank of the future by streamlining operations, transforming legacy processes and commercializing insights into actionable outcomes. Our team operates in a dynamic setting solving critical business problems and reimagining how we view our operations via a data driven lens.",3.9,"HSBC
3.8","New York, NY",10000+ Employees,1865,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
Data Scientist - New College Grad,$63K - $141K (Glassdoor est.),"Data and its proper use is crucial to that vision and the data science team plays a fundamental role in understanding and interpreting those data sources.

The Wealthfront data science team creates data products to deliver personalized financial product experiences, develops best in class investment algorithms, and analyzes our rich financial and behavioral data to make key business decisions. The team draws from a variety of backgrounds in Computer Science & Engineering, Statistics, Economics, Math, Operations Research, and Financial Engineering. We derive strength from this diversity and are constantly learning and teaching each other in a down-to-earth and dynamic environment. We are neither too big where you would be just another cog in the system, nor are we too small that none of our efforts can be realized.",4.5,"Wealthfront
4.5","Palo Alto, CA",51 to 200 Employees,2011,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Graduate Data Scientist - Role Can be Remote,$63K - $137K (Glassdoor est.),"The Petcare Segment consists of five Divisions: Pet Nutrition, Royal Canin, Mars Veterinary Health N. America, Mars Veterinary Health International & Diagnostics, Kinship. Under this new organization of Petcare Product and Service brands, we launched our Strategy in 2018 with an objective to “Create a Better World for Pets by extending global leadership in Nutrition, Health and Services powered by Data”.
With the breadth and scale of our Petcare businesses we have unique and unrivalled data assets. The potential to create benefits for Pets and sustainable competitive advantage is huge and we need to seize this opportunity now.
Our data assets consist of Veterinary data including appointment and invoice details as well as the medical histories and diagnostic details this provides. We have breed and disease marker data from our DNA diagnostics business (Wisdom Health), Location and Activity Tracking data from our Whistle business. From our nutrition businesses we have sales data, some consumer data as well as valuable information about retailers, Veterinarians, Breeders and Shelters. We also have third party data providing us with product purchasing insights and the potential to develop deeper and broader views into Petcare shopping through collaboration and D2C engagement.",4.2,"MARS
4.2","Franklin, TN",10000+ Employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,$87K - $178K (Glassdoor est.),"Supporting the Disney Advertising Sales organization within our Disney Media & Entertainment Distribution (DMED) segment, the Audience Modeling and Data Science team are subject matter experts in each of the following areas:
Creating and optimizing audience classification models that enable us to predict and target strategic audience attributes, including brand affinity, purchase behavior, and psychographics
Integrating a broad suite of complex datasets, from digital event logs to sporting event metadata, into carefully curated and reusable data models
Publishing audience attributes across an array of ad-serving endpoints
Working cross-functionally to ensure our data product is aligned with the goals of each strategic sales vertical and the business as a whole

We’re looking for an intellectually curious, business-savvy, analytical powerhouse to join The Walt Disney Company’s DMED segment as a data scientist on the ad sales team. In this role, you will be responsible for driving improvements across DMED’s portfolio of offerings by using data. Working collaboratively with cross-functional teams, you will develop, drive, and oversee new strategies to ensure the growth of the business and the overall bottom line.





#LI-KG2


B.A. or B.S. (MS, MBA, or PhD a plus) in a quantitative field (Math/Statistics, CS, Engineering, Business, Economics, experimental science, or similar)


DISNEYADSALES",4.0,"Disney Media & Entertainment Distribution
4.0","Santa Monica, CA",10000+ Employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD)
Data Scientist I,Employer Provided Salary:$45 - $50 Per Hour,"[Notes before you apply:
Our Policy is to take our time with the selection process because we want to be sure who we are hiring!
If you have the desire to apply, please note that we expect serious professionals who are responsive and are making a deliberate choice to apply for this position. We’re all busy and would rather not waste anyone’s time.
We recruit for professionals who (i) can speak to their experience in-depth (ii) can communicate confidently and clearly (iii) are looking to grow into more responsibility and (iv) are looking to work on cutting-edge technologies and with smart professional colleagues. If this does not feel like a good fit, please skip this job post.",-1,Wellstone Technologies,Remote,1 to 50 Employees,-1,-1,-1,-1,-1
Data Scientist - Analytics,Employer Provided Salary:$50 Per Hour,"Role Summary: Using your deep curiosity and desire to learn, you will focus on analytics and perform a variety of tasks related to cleaning and exploring new datasets, uncovering useful trends and observations in the data, while keeping in mind the business context and goals specific to the Client.
Acorn Analytics is a data science consultancy that helps clients of varying degrees of data maturity harness the power in their data to drive smarter decision-making. We are proactive communicators, upfront and candid!
Using your attention to detail and pride in your work, you will be responsible for:",-1,Acorn Analytics,Remote,1 to 50 Employees,-1,-1,-1,-1,-1
Data Scientist,$83K - $173K (Glassdoor est.),"What will be your mission?

At Sony Pictures, our mission is to map relevant movie and TV series content to consumers and audiences across transactional, subscription and linear viewing platforms. We’re building data products and visualization tools and insights platform that will predict audience preferences and behaviour for library and new releases to drive growth of engagement and consumption of Sony produced content. Sony produces franchise brands such as Spiderman, Men in Black and Jumanji, through to TV franchises such as Breaking Bad, Blacklist and Better Call Saul.

Our Data team is responsible for aggregating millions of consumer data points to best in class predictive models, consumer trends systems, recommendation engines and more!",4.0,"Sony Pictures Entertainment, Inc.
4.0","Culver City, CA",5001 to 10000 Employees,1989,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,$5 to $10 billion (USD)
Data & Applied Scientist,$93K - $168K (Glassdoor est.),"At World’s Edge Studio, we are building the future of the Age of Empires Franchise. A foundational component of that future will be our capacity to generate and leverage player insights. To help us build that foundation, we are seeking a Data & Applied Scientist to join the team. If you are passionate about games, data science, and the opportunity to influence the direction of an amazing franchise with a beloved player base, then this role is for you!
Successful candidates will have experience providing end-to-end analytics support for gaming and/or consumer products—from driving telemetry design, validating data quality, building reports, to delivering analyses and sharing insights that positively impact players. Knowledge and previous application of different analytic and modeling techniques focused on understanding user experiences/satisfaction is required, as is a strong passion for driving data-oriented decision making. The individual in this role will also be an excellent communicator, regularly sharing player insights in an effective way to people of varied technical and analytical backgrounds. Finally, this individual will be an active collaborator with their analytics peers— sharing expertise and leveraging the work of others to enhance impact, and providing thought leadership on how to best use data to help shape the direction of our games.",3.8,"Microsoft
4.4","Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Entry Level Data Scientist: 2022,$61K - $140K (Glassdoor est.),"Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
Start dates for this role are January 2022 and later
Data scientists are in demand across IBM’s growth areas. If hired, you will be matched to a team based on business demand, location and fit. Join the forward-thinking teams at IBM solving some of the world’s most complex problems – there is no better place to start your career!

What you’ll do as an Entry Level Data Scientist:
Who You Are:
For more information on our other Entry Level opportunities, please visit here.

These are office based positions in IBM locations including the following. Opportunities in these locations will vary based on demand & will be deleted as filled:

CA - San Francisco, San Jose
CT - Southbury
GA - Brookhaven, Sandy Springs
MA – Andover, Cambridge, Lowell
NY - Armonk, NYC
NC - Research Triangle Park
TX - Austin, Dallas",4.0,"IBM
4.0","Research Triangle Park, NC",10000+ Employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD)
Data Scientist,$82K (Employer est.),"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
***** If you are currently in college/ grad school or have less than 2 years of experience - please check out FutureForce job opportunities at Salesforce:




Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records.
As a federal contractor, Salesforce is required to verify that all US-based employees are fully vaccinated against COVID-19. If you receive an offer and are unable to get vaccinated for religious or medical reasons, you may request a reasonable accommodation.",4.5,"Salesforce
4.5","New York, NY",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
Machine Learning Engineer,$82K (Employer est.),"Machine Learning Engineer
24+ Months
Client 7-Eleven Inc
Skills:
3+ years of experience in Machine learning model development and deployment.
2+ years of experience in Python development
1+ years of experience with Azure/GCP cloud Big Data concepts
Azure SQL Data Warehouse.",5.0,"Integration Developer Network LLC
5.0",Remote,51 to 200 Employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
"Data Scientist, Product and Engineering",$82K (Employer est.),"About Us:
We're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.
We've been working on this together since 2016, and have customers like Nike, Airbnb, Slack, Samsung and thousands more on this journey with us. Today, we're growing fast and excited for new teammates to join us who are the best at what they do. We're passionate about building a company as diverse and creative as the millions of people Notion reaches worldwide.",4.8,"Notion
4.8","New York, NY",201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data & Applied Scientist,$82K (Employer est.),"Azure Edge + Platform brings together Edge platforms, devices, and services to deliver Edge solutions, operating systems, and engineering systems. Driven by its customers’ needs, Azure Edge + Platform seeks to accelerate growth for Azure, E&D, and Microsoft’s customers worldwide.
The organization’s portfolio spans the Cloud Edge Stack, Azure Engineering Systems, Azure Media Services - for end-to-end media workflow and analytics - and Microsoft’s Operating Systems including the Azure Host OS and Windows. This portfolio impressively powers the world with more than one billion monthly active devices.
We are part of Azure fundamental team, focusing on improving Azure quality. our team focuses on leveraging machine learning, Big data, and distributed system to help our customers to prevent any quality degradation for their products during the software development lifecycle. Our big data analytics and ML platform processes multiple terabytes of data per day, and worked with our partners or customers to migrate any potential quality degradation.",3.8,"Microsoft
4.4","Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Scientist,$82K (Employer est.),"PRIMARY FUNCTION:

The Data Scientist supports the department by delivering a wide range of analytic projects.
Also works with different types of data, including EMR/EHR data, claims data, consumer data, operation and HR data, education data and etc. Also provides analytic consulting support outcome and quality research, population health, clinical and academic research, internal clinical and operational decision support initiatives. The scientist is charged with data processing, data mining, statistical modeling, analysis, extracting insights and problem solving.",3.8,"Jefferson - Center City, Philadelphia, PA
3.8","Philadelphia, PA",5001 to 10000 Employees,1824,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
Data Scientist-IT Engineer III – IT Transformation,$82K (Employer est.),"Location
New York, New York
Shift:
Day (United States of America)
Description:
Drive Technological Advancement at New York’s #1 Hospital
This is an exciting opportunity to work at New York Presbyterian Hospital, being ranked the 7th best hospital in the U.S. in 2021 by U.S. News, and the best in New York City and state for over twenty straight years. At New York Presbyterian Hospital, our mission is to leverage world class technologies, optimize hospital operations, transform patient experience, and improve clinical outcomes that will make enormous impact on the cost and convenience of care through AI-driven technology and innovation. This role is of high visibility and will be responsible for development and implementation of artificial intelligence, and machine learning across the spectrum of Finance & Revenue Cycle, Clinical Care, Patient Access, Supply Chain, and Operations.",4.1,"NewYork-Presbyterian Hospital
4.1","New York, NY",10000+ Employees,1998,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Scientist,$82K (Employer est.),"What is the opportunity?
As a Data Scientist, you will analyze, design and implement data science solutions using RBC’s enterprise suite of analytics tools. You will analyze data using statistical, machine learning, and analytics techniques to solve complex problems, discover insights and identify business opportunities. Additionally, you will select appropriate statistical and machine learning models to test business hypotheses and explore data to identify unforeseen insights. You will also prepare and integrate large and varied datasets and implement statistical and machine learning models using Python, and you will deploy production-scale solutions using the Big Data Ecosystem, transforming statistical and machine learning models from single node architecture to parallel processing grid technology.",4.0,"RBC
4.0","Orlando, FL",10000+ Employees,1869,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
Data Scientist (Remote),$82K (Employer est.),"No Relocation Assistance Offered
# 124428 - New York, New York, United States
Hill's Pet Nutrition is looking for a Data Scientist to become part of the team!

Do you want to make a difference in the lives of people and their pets? What about having the opportunity to connect with others across the world, full of stimulating discussions, and making impactful contributions? If this is how you see your career, Hill’s is the place to be!
Hill’s Pet Nutrition is a $2.3 Billion, global division of Colgate-Palmolive Company and the maker of Prescription Diet, Science Diet, and Healthy Advantage brand pet food. Our mission is to help enrich and lengthen the special relationships between people and their pets by providing the best groundbreaking pet nutrition technology, products, and expertise to pet owners, veterinary professionals and other key pet professionals worldwide. Our company is a globally recognized Best Place to Work.",4.1,"Hill's Pet Nutrition
4.1","New York, NY",1001 to 5000 Employees,1907,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD)
