Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
#AGGP - Graduate Data Scientist & Quality Analyst (M/F),40 k € - 45 k € (Esti. de Glassdoor),"Job Description:
Every year we look for university graduates from around the world to join Airbus. We need people with the aspiration, enthusiasm and the talent to help us move forward and to change the world and deliver our vision to pioneer sustainable aerospace for a safe and united world.
When you begin your career with us, we accelerate your development through our Airbus Global Graduate Programme experience. You are part of a 2 year programme where you develop your professional skills; build your networks locally and internationally; and gain a unique perspective on the world of Airbus.
You are part of a global community, so we bring you together once a year for a global graduate conference where you meet your peers, hear from our leaders and learn from the best.
We are hiring the graduates we need to fill the critical roles for our future.




Airbus Helicopters SAS
Permanent Contract / CDI / Unbefristet / Contrato indefinido
Entry Level / Débutant / Anfänger / Recién titulado
Information Mgmt and Digital Technology <JF-IM-DI>",4.1,"Airbus
4.1",Marseille,Plus de 10 000 employés,1970,Entreprise cotée en bourse,Aérospatiale et Défense,Aérospatiale et Défense,Plus de 10 milliards de dollars US
Data Scientist Climat H/F,-1,"Le Groupe
Generali, l’un des leaders mondiaux de l’assurance, accompagne plus de 65 millions de clients à travers le monde.
Qu’ils soient particuliers, professionnels ou entreprises, nous proposons à nos clients une gamme de solutions d’assurance flexibles et durables, qui protègent les biens comme les personnes, en local comme à l’international.
Le Groupe Generali joue un rôle actif dans la création d’un avenir durable. Tout en poursuivant un objectif de développement économique, Generali œuvre pour l’amélioration continue des conditions économiques, sociales et environnementales des parties prenantes avec lesquelles il interagit. Notamment, le Groupe incite ses parties prenantes à une pleine conscience de l’impact des risques liés au changement climatique qui pèse sur tous les pans de l’activité.",3.7,"Generali
3.7",Saint-Denis,Plus de 10 000 employés,1831,Entreprise cotée en bourse,Sociétés d''assurance,Assurance,Plus de 10 milliards de dollars US
IT Data Scientist,-1,"Référence de l’offre
220002FK
Type de contrat
CDI
Niveau d'expérience
Expérimentés
Société du groupeAXA Investment Managers
Famille métierData Science
Localisation",4.3,"AXA
4.3",Puteaux,Plus de 10 000 employés,1985,Entreprise non cotée en bourse,Sociétés d''assurance,Assurance,Entre 25 et 50 millions de dollars US
Data Scientist (H/F) - CDI - Paris,-1,"Référence de l’offre
21000CJZ
Type de contrat
CDI
Niveau d'expérience
Expérimentés
Société du groupeGIE AXA
Famille métierData Science
Localisation",4.3,"AXA
4.3",Puteaux,Plus de 10 000 employés,1985,Entreprise non cotée en bourse,Sociétés d''assurance,Assurance,Entre 25 et 50 millions de dollars US
Ingénieur Data Scientist junior - F/H,32 k € - 42 k € (Esti. de Glassdoor),"Description de l'entreprise

La mission de CS GROUP : être à la pointe des technologies pour garantir la sécurité de tous dans un monde en pleine mutation. L'expertise reconnue du groupe lui permet d'intervenir là où les enjeux de sécurité sont les plus sensibles : aéronautique, défense, énergie, spatial… Et, aussi, là où les réponses sont à inventer ou à réinventer : lutte anti-drones, cybersécurité, traitement de données satellitaires…

Description du poste

Nous recrutons un/une pour rejoindre notre Business Unit au sein de la Business Line . Elle accompagne nos clients dans leurs problématiques associées à la transformation digitale. Nos offres se déclinent autour de la data intelligence & de la maintenance prédictive, de la digitalisation des processus industriels et du SI Métiers.",3.5,"CS GROUP
3.5",Toulouse,De 1 001 à 5 000 employés,1968,Entreprise non cotée en bourse,Services informatiques,Informatique,Entre 100 et 500 millions de dollars US
DATA ANALYST / SCIENTIST (H/F) / Freelance,Salaire fourni par l'employeur:44 € - 56 € Par heure,En binôme avec un développeur Java EE : - Participer à la quête des sources de données pertinentes - Extraire et traduire des données business en données statistiques - Participer à la modélisation et assurer les mises à jour régulières de la base de données - Contrôler la qualité des données - Analyser les informations chiffrées générées par l'activité de l'entreprise et de ses opérateurs clients - Synthétiser et vulgariser les informations pour les rendre accessibles - Proposer des recommandations sur les bases de données à modifier - Outil : Power BI,-1,FRISBEE PROFILING,Saint-Maur,De 1 à 50 employés,2016,Entreprise non cotée en bourse,Services informatiques,Informatique,Ne sait pas / non applicable
Data Scientist (M/W) - REMOTE / Freelance,-1,"Contexte : My client is currently looking for an experienced Data Scientist to work on algorithms and DS stream. Mission : - Build Data Science Algorithms - Develop models for computer vision - Use Machine Learning to detect defaults in the production chain Profil : - Experience in Machine Learning - Solid background in Computer vision - Pytorch - Knowledge of predictif algorithms and models building - English Benefits : - Starting date ASAP - Full remote - 3 months mission - Rate on profils If you are interested, please feel free to reach out to me at the following contact details: Valentin Cochet Talent Acquisition Specialist Data & Business Intelligence Microsoft Technologies +XX XXXXXXXXX XXXXXXX@XXXXXXXXXXXXXXXXXX",3.8,"Club Freelance
3.8",Télétravail,De 1 à 50 employés,2014,Entreprise non cotée en bourse,Conseils,Services aux entreprises,Entre 10 et 25 millions de dollars US
Data scientist confirmé AIX EN PROVENCE H/F,-1,"Capgemini, qu’est-ce que cela évoque pour vous ? Pour nous, c’est une success story à la française ! Celle d’une startup devenue une référence mondiale en matière de conseil et de services informatiques.
Notre entité Engineering a pour mission de fournir des solutions logicielles et physiques globales pour permettre à nos clients industriels de migrer vers l’industrie 4.0.
Envie d’en savoir plus ? C’est par ici que ça se passe !
VOTRE RÔLE, VOTRE AVENIR ?

Notre agence basée à Aix-en-Provence accroit son activité en adressant de nouveaux projets Data Analytics pour l'industrie. Dans ce cadre, nous souhaitons renforcer notre équipe Data et nous vous proposons d'intégrer notre équipe en tant que .",3.6,"Capgemini
3.6",Aix,Plus de 10 000 employés,1967,Entreprise cotée en bourse,Solutions logicielles et réseau d''entreprise,Informatique,Entre 1 et 2 milliards de dollars US
Data Scientist junior H/F,42 k € - 60 k € (Esti. de Glassdoor),"Systèmes d'Information
PARIS LA DEFENSE-TOUR INITIALE(FRA)
France
Description du poste


TotalEnergies recherche un(e) Data Scientist junior. Le poste est basé à La Défense.
Pour réussir à intégrer les métiers de l’électricité et des énergies renouvelables, TotalEnergies a créé une nouvelle entité OneTech qui regroupe l'ensemble des expertises techniques et de R&D des branches (Exploration & Production, Raffinage Chimie, Marketing & Services et Gas, Renewables & Power). Avec près de 3 400 ingénieurs et techniciens répartis sur plusieurs sites en Europe, OneTech est organisé autour de 3 pôles, un pôle industriel pour accompagner la croissance de la Compagnie dans le gaz, les énergies renouvelables, l’électricité et la réduction des émissions de CO2, un pôle Recherche & Développement pour poursuivre la transformation de TotalEnergies en donnant la priorité au mix bas carbone et un pôle fonctions supports.

Dans un contexte de mutation technologique rapide et de transformation digitale de la Compagnie , vous serez amené à coordonner des activités récurrentes (réception, chargement, recherche et mise à disposition de données), à assurer le suivi technique de bases de données et à optimiser et automatiser des workflows au large périmètre des données industrielles. Vous serez moteur pour assurer la transformation digitale.

Rattaché (e ) au responsable d’équipe Technical Document, au sein d’une équipe d’environ dix personnes travaillant sur des projets Data Sciences, vos principales missions sont les suivantes :",4.0,"TotalEnergies
4.0",Paris,Plus de 10 000 employés,1924,Entreprise cotée en bourse,Énergie,"Pétrole, gaz, énergie et services publics",Entre 25 et 50 millions de dollars US
Data Scientist H/F,-1,"Toulouse
CDI
Description du poste
Vous cherchez à rejoindre une équipe dynamique sur Toulouse ? Travailler dans un environnement Start Up avec les avantages d’une structure en pleine croissance telle que SOLUTEC ? Alors ce poste est fait pour vous !
Nous recherchons pour notre agence Toulousaine un(e) Data Scientist. Vous aurez pour missions :
Collecte des besoins des équipes métiers en termes d’analyse de données pertinentes pour l’entreprise
En tant que consultant, votre rôle comprendra également des aspects plus globaux, comme la veille technologique et le conseil auprès du client sur de nouveaux outils.
Issu(e) d'une formation ingénieur ou d'un cursus universitaire (Bac+4 /Bac+5, vous avez un vrai attrait pour les données. Vous avez dans l'idéal une bonne connaissance sur le langage Python (et/ou R). Attrait pour la Business Intelligence et les outils type Talend, Power BI, Qliksense, Tableau etc.",3.2,"Solutec
3.2",Toulouse,De 1 001 à 5 000 employés,Entreprise cotée en bourse,Services informatiques,Informatique,Entre 50 et 100 millions de dollars US,-1
Data Scientist H/F,Salaire fourni par l'employeur:45 k €,"nöus
umlaut, part of Accenture, est un partenaire mondial de bout en bout de 5000 personnes qui offre des services complets dans tous les secteurs d'activité et qui met en œuvre ses capacités de conseil et de réalisation interdisciplinaires et collaboratives pour améliorer le sort de ses clients et - en plus de cela - pour ajouter de la valeur, de la qualité et de l'attention à leurs organisations et à leurs produits.
notre öffre
vous participerez à la définition et au développement de nouveaux concepts et outils utilisés dans le traitement automatique et l'analyse des big data. Vous serez chargé(e) de :",3.7,"umlaut
3.7",Blagnac,De 1 001 à 5 000 employés,1996,Entreprise non cotée en bourse,Conseils,Services aux entreprises,Ne sait pas / non applicable
Research Data Scientist,-1,"The Infrastructure Quantitative Engineering group is responsible for the strategic analysis to support and enable the continued growth critical to Facebook’s infrastructure organization. We are applied quantitative and computational experts using math, statistics and machine learning to measure & optimize cost, performance, reliability and efficiency of Facebook’s infrastructure & global telecom systems to deliver the best experience to our global audience. The ideal candidate will be passionate about Facebook, have strong analytical and modeling aptitude and has experience using data to drive cost effective decision making.


Research Data Scientist Responsibilities:",4.3,"Facebook App
4.3",Télétravail,Plus de 10 000 employés,2004,Entreprise cotée en bourse,Internet,Informatique,Entre 5 et 10 milliards de dollars US
Data Scientist (H/F),Salaire fourni par l'employeur:25 k € - 29 k €,"Date Limite Candidature : lundi 14 mars 2022
Assurez-vous que votre profil candidat soit correctement renseigné avant de postuler. Les informations de votre profil complètent celles associées à chaque candidature. Afin d’augmenter votre visibilité sur notre Portail Emploi et ainsi permettre aux recruteurs de consulter votre profil candidat, vous avez la possibilité de déposer votre CV dans notre CVThèque en un clic !
Informations générales
Référence : UMR6205-EVAGOU-001
Lieu de travail : VANNES
Date de publication : lundi 21 février 2022
Type de contrat : CDD Scientifique
Durée du contrat : 24 mois
Date d'embauche prévue : 1 avril 2022
Quotité de travail : Temps complet
Rémunération : 2100 et 2400 €
Niveau d'études souhaité : Bac+5
Expérience souhaitée : Indifférent
l'évaluation d'indicateurs techniques permettant d'expliquer les variations des
actifs étudiés.
évolutions à court et moyen terme.
les modèles de gestions d'actifs développés.
sur les marchés de cryptomonnaies sous des délais courts (de l'ordre d'une
dizaine de secondes), et ce, en s'adaptant aux données observées en continue.
de machine learning ;
sein du laboratoire LMBA (Vannes).",3.8,"CNRS
3.8",Vannes,Plus de 10 000 employés,1939,Enseignement supérieur/universitaire,Organismes fédéraux,Gouvernement,Entre 50 et 100 millions de dollars US
Data Scientist H/F,36 k € - 54 k € (Esti. de Glassdoor),"Informations générales

La Direction Générale du Soutien Militaire (DGSM) assure la mise en œuvre et la maintenance des avions militaires et de leur environnement avec un soutien personnalisé pour chaque client.
La composante Transformation Numérique participe au développement, à la mise en œuvre et au déploiement de l'environnement Big Data Militaire. Cet environnement a pour objectif d'aider à l'amélioration de la disponibilité de nos avions et est une composante incontournable des contrats de maintenance passés avec nos clients militaires.
Au sein de l'équipe Transformation Numérique vous participez aux travaux de Data Science visant à la définition de la maintenance prévisionnelle pour optimiser au travers d'algorithmes la disponibilité de nos avions militaires (Rafale, M2000, ATL).

Au travers d'outils de Data Science (python, spark) et d'un Big Data Studio vous serez chargé de :


Vous êtes force de proposition dans l'évolution du Big Data Studio.
Vous travaillez en mode projet avec les équipes métier de la DGSM et de la R&D. L'intégration des personnes de plusieurs directions permettant de combiner les aspects Métier du soutien, Data Science et Informatique.

Vous serez également responsable du développement des compétences Data Science de la DGSM et contribuerez à la communauté IA/ Data Science Dassault Aviation.",3.7,"Dassault Aviation
3.7",Saint-Cloud,Plus de 10 000 employés,Entreprise cotée en bourse,Ne sait pas / non applicable,-1,-1,-1
Data Scientist (H/F),-1,"D'abord qui
Curieux
Méthodique
Attentif aux détails
Engagé
Ensuite quoi
Missions
Identifier les besoins et problématiques
Collecter et traiter les données
Modélisations statistiques",3.9,"Extia
3.9",Strasbourg,De 1 001 à 5 000 employés,2007,Entreprise non cotée en bourse,Conseils,Services aux entreprises,Entre 100 et 500 millions de dollars US
DATA SCIENTIST CYBERSECURITE H/F,36 k € - 55 k € (Esti. de Glassdoor),"Contrat : CDI
Rémunération : Selon profil
Lieu : Toulouse et Paris
ITrust cherche ses JEDI !
Start-up devenue grande, ITrust est le leader européen en Intelligence artificielle appliquée à la cybersécurité défensive : véritable incubateur de talents, ITrust est à la fois expert en sécurité (conseil, audit, RedTeam, MSSP, formation) et éditeur de logiciels innovants avec IKare (scanner de vulnérabilités) et Reveelium (SIEM détecteur d’attaques inconnues, APT (Advanced Persistent Threat) et comportements malveillants par Machine Learning).
Résolument tournée vers l’international ITrust poursuit son développement avec l’ouverture de 2 nouveaux terrains de jeux : une école, l’AN21 pour former de jeunes padawans et un centre de recherche en IA pour contrer la « Menace Fantôme ».
Véritable visionnaire, à l’image de sa direction et de ses collaborateurs l’entreprise est animée par la passion des sujets de la cybersécurité et de l’intelligence artificielle.
ITrust est une entreprise innovante qui propose un environnement de travail stimulant et dynamique au sein d’une équipe d’experts drivés par un sentiment de convivialité, de solidarité et de confiance. Ces derniers ont toutes les cartes en main pour servir leurs propres ambitions et celles de l’entreprise.
Au-delà de son département de Professional services, SOC (Security Operations Center) et de Recherche & Développement, ITrust c’est aussi et surtout une famille, à la recherche de ses futurs membres !

Vous serez amené à intervenir et à développer vos compétences sur les thématiques suivantes :",2.7,"ITrust
2.7",Toulouse,De 1 à 50 employés,2007,Entreprise non cotée en bourse,Services informatiques,Informatique,Moins d''un million de dollars US
"Data Scientist (full time, all seniority levels) - QuantumBlack",70 k € - 89 k € (Esti. de Glassdoor),"Who You'll Work With
Based in Paris and working across the region, as a consultant data scientist you will work closely with our clients, data engineers and all types of McKinsey consultants on interdisciplinary projects, using maths, stats and machine learning to derive structure and knowledge from raw data across various industry sectors.
This hybrid client-facing/technical role will allow you to use state of the art technologies to solve highly impactful business problems, whilst also leveraging your strong communication skills to convey complex intractable ideas to non-technical audiences.
Who you are",4.4,"McKinsey & Company
4.4",Paris,Plus de 10 000 employés,1926,Entreprise non cotée en bourse,Conseils,Services aux entreprises,Ne sait pas / non applicable
CONSULTANT DÉBUTANT DATA SCIENCE F/H,-1,"Pourquoi devenir Consultant Débutant Data Science F/H chez KPMG ?
Leader de l'expertise comptable, de l'audit et du conseil, KPMG France est membre de KPMG International, réseau de cabinets indépendants exerçant dans 155 pays.
Avec 50 consultants en France et un réseau mondial de 4500 personnes, notre équipe Data Analytics accompagne des grands comptes internationaux dans leurs projets de transformation digitale, en les aidant dans le développement et l’implémentation de solutions Data & Analytics.
Pour faire face aux besoins de nos clients et accompagner notre développement, KPMG Data cherche à renforcer ses effectifs, et recrute des Data Scientists juniors, dotés à la fois d’une forte appétence pour l’analyse des données et d’un intérêt marqué pour les enjeux métiers.",3.9,"KPMG
3.9",Paris,Plus de 10 000 employés,Entreprise cotée en bourse,Ne sait pas / non applicable,-1,-1,-1
Apprentie Data Scientist,35 k € - 60 k € (Esti. de Glassdoor),"FIRMENICH est la plus grande entreprise familiale dans le domaine de la création de parfums et arômes alimentaires. Société suisse de dimension internationale notre passion pour les parfums et les arômes, notre créativité et notre innovation, associés à notre compréhension des perceptions sensorielles et des tendances ont fait notre réputation. Nos importants investissements en R&D nourrissent notre désir de comprendre, partager et réinventer le meilleur de ce que la nature nous offre dans le domaine des arômes et des parfums.

FIRMENICH emploie environ 10 000 personnes dans le monde dans 64 pays.

Firmenich recherche,

un(e) Alternant(e) Data Scientist

à compter de Septembre 2022 basé à Neuilly-sur-Seine

Type de contrat Apprentissage

Durée 24 mois

Localisation 41-43 rue de Villiers 92200 Neuilly-sur-Seine

Key Responsabilities

We value

Vous êtes reconnu comme une personne autonome, agile et allant de l’avant. Vous êtes reconnue comme une personne enthousiaste, avec un relationnel facile. Grâce à votre rigueur et le respect des règles et consignes, vous apprenez vite. Vous aimez apprendre seul, vous aimez suivre des protocoles.

Vous savez apporter des idées nouvelles, en respectant la forme et le fond.

Vos premiers stages ont confirmé votre intérêt pour le secteur BtoB et/ou BtC international et vous ont déjà permis de développer vos connaissances et votre motivation pour les métiers des Achats.


Profil

Master 1 Statistique biologie, Science
Anglais, Fluent

We offer

Firmenich Paris recense une communauté de 350 collaborateurs engagés, passionnés par leur métier, experts et aimant le partage de leur savoir-faire.

Notre communauté de salariés est très engagée sur les thématiques du développement durable, de la diversité et l’inclusion ainsi que les droits humains.

En tant qu’alternant chez Firmenich vous participerez à un parcours d’excellence, inspirant facilitant l’employabilité. Vous allez vous créer un réseau international en rejoignant un groupe de 30 alternants au sein d’une entreprise où le partage du savoir-faire est la clé de notre succès.

Durant votre apprentissage vous serez accompagné d’un tuteur expert qui aura pour rôle de vous former et de vous guider tout au long de votre intégration.

Nous offrons à nos salariés de nombreux avantages (Parking, carte tickets restaurants, télé travail, participation etc...)

#LI-FIR1",3.7,"Firmenich
3.7",Paris,De 5 001 à 10 000 employés,1895,Entreprise non cotée en bourse,"Magasins de chaussures, de vêtements et grands magasins",Vente au détail,Entre 2 et 5 milliards de dollars US
Data Scientist (F ou H),36 k € - 54 k € (Esti. de Glassdoor),"Les équipes Transilien de SNCF offrent un service complet à 3 millions de voyageurs quotidiens dans 381 gares d’Ile-de-France, sur 14 lignes ferrées et 16 lignes de bus Noctilien.
Vos missions
Au sein de Transilien, les collaborateurs de de la DSI ont pour objectif d’apporter des services numériques innovants pour contribuer aux enjeux du groupe SNCF en construisant les SI de demain et en les maintenant opérationnels. L’équipe Big DATA Transilien a pour mission de réaliser les applications qui font appel aux technologies Big Data et Data Viz pour les différents métiers de Transilien (Info Voyageurs , Production ou distribution) . Elle gère à la fois le BUILD et le RUN de ces applicatifs, dont l’exploitation est assurée par DEA.",3.5,"SNCF
3.5",Saint-Denis,Plus de 10 000 employés,Entreprise cotée en bourse,Ne sait pas / non applicable,-1,-1,-1
"Data Scientist, Product Analytics",-1,"As a Data Scientist at Facebook, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By applying your technical skills, analytical mindset, and product intuition to one of the richest data sets in the world, you will help define the experiences we build for billions of people and hundreds of millions of businesses around the world. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Research, Data Engineering, Marketing, Sales, Finance and others. You will use data and analysis to identify and solve product development’s biggest challenges. You will influence product strategy and investment decisions with data, be focused on impact, and collaborate with other teams. By joining Facebook, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the products we build bring value to people, businesses, and Facebook. You will help your partner teams prioritize what to build, set goals, and understand their product’s ecosystem.Analytics: You will guide teams using data and insights. You will focus on developing hypotheses and employ a diverse toolkit of rigorous analytical approaches, different methodologies, frameworks, and technical approaches to test them.Communication and influence: You won’t simply present data, but tell data-driven stories. You will convince and influence your partners using clear insights and recommendations. You will build credibility through structure and clarity, and be a trusted strategic partner.",4.3,"Facebook App
4.3",Télétravail,Plus de 10 000 employés,2004,Entreprise cotée en bourse,Internet,Informatique,Entre 5 et 10 milliards de dollars US
Data Scientist,-1,"Stuart (DPD Group) is a sustainable last-mile logistics company that connects retailers and e-merchants to a fleet of geolocalised couriers across several countries in Europe.

Our Mission
We are an impact-driven company that aims to build the future of logistics for a more sustainable world: shared, efficient and reliable. We are committed to creating a new standard for urban deliveries that meet today’s environmental and social challenges while offering a premium delivery experience blending speed, flexibility and convenience.

Our motto: “Make every delivery a moment all of us can truly celebrate!” More than 3000+ leading brands already partner with us across Restaurants, Grocery, Retail & Luxury, eCommerce and Professional Services to deliver all types of goods at the tap of a button. Stuart is a highly diverse and inclusive company of 600+ talents from 90+ countries working in Paris , London , Barcelona, Madrid , Poland , Portugal and remotely around the world",4.4,"Stuart
4.4",Télétravail,De 501 à 1 000 employés,2015,Entreprise non cotée en bourse,Internet,Informatique,Ne sait pas / non applicable
Data Scientist (H/F),42 k € - 78 k € (Esti. de Glassdoor),"Syngenta figure parmi les leaders mondiaux pour ses activités. Le groupe emploie plus de 28000 personnes dans plus de 90 pays qui n’ont qu’un seul objectif: exprimer le potentiel des plantes. Par nos capacités scientifiques de premier plan, notre présence mondiale et notre engagement en faveur des clients, nous aidons à accroître les rendements et la rentabilité des cultures, à protéger l’environnement et à améliorer la santé et la qualité de vie.
Plus d’informations sur www.syngenta.com
Nous recherchons un(e) Data Scientist, pour rejoindre l’équipe Support Commercial et Planning dans le cadre d’un CDI. Nous vous attendons pour un démarrage dans les meilleurs délais. Le poste est localisé à Guyancourt (station Saint Quentin en Yvelines, RER C, Ligne U et N).",4.2,"Syngenta
4.2",Guyancourt,Plus de 10 000 employés,2000,Entreprise non cotée en bourse,Production alimentaire,Agriculture et sylviculture,Entre 10 et 25 millions de dollars US
Data Scientist,-1,"Description de l'entreprise*
Qui sommes-nous ?*
Ysance est une société spécialisée dans la data créée en 2005. Nous faisons partie du groupe Devoteam, leader du conseil en stratégie digitale, plateformes technologiques et cybersécurité.
Nous sommes organisés en deux communautés très complémentaires : Tech for Data (engineering & architecture) et Data for Business (data science, viz, data analytics). Nos équipes accompagnent les entreprises pour faire de la data un accélérateur business. Cet accompagnement couvre à la fois les problématiques de gestion de la data dans des environnements « on premise » mais également un fort savoir-faire dans les sujets de move to cloud ; Ysance s’appuyant sur les capacités de* Devoteam, leader sur le cloud avec des partenariats de référence sur GCP, AWS, Azure, …*
Dans le cadre de notre développement, nous renforçons nos équipes !

Ysance a développé un programme solide de formations & certifications (partenariats avec …), notamment sur les technologies cloud (, …)
Ysance intervient dans de (Retail, luxe, média, télécoms, banque, industrie, …) pour des grands comptes internationaux
La garantie d’intervenir sur des sujets précis au cœur de votre expertise
Ysance c’est avant tout une bénéficiant de* l’écosystème d’un grand groupe*",3.6,"Ysance
3.6",Levallois-Perret,De 51 à 200 employés,Entreprise non cotée en bourse,Ne sait pas / non applicable,-1,-1,-1
Data Analyst H/F,42 k € - 60 k € (Esti. de Glassdoor),"Systèmes d'Information
COURBEVOIE(PLD)-COUPOLE(FRA)
France
Description du poste
TotalEnergies recherche un(e) Data Analyst. Le poste est basé à la Défense.

Pour réussir à intégrer les métiers de l’électricité et des énergies renouvelables, TotalEnergies a créé une nouvelle entité OneTech qui regroupe l'ensemble des expertises techniques et de R&D des branches (Exploration & Production, Raffinage Chimie, Marketing & Services et Gas, Renewables & Power). Avec près de 3 400 ingénieurs et techniciens répartis sur plusieurs sites en Europe, OneTech est organisé autour de 3 pôles, un pôle industriel pour accompagner la croissance de la Compagnie dans le gaz, les énergies renouvelables, l’électricité et la réduction des émissions de CO2, un pôle Recherche & Développement pour poursuivre la transformation de TotalEnergies en donnant la priorité au mix bas carbone et un pôle fonctions supports.
Dans un environnement en transformation avec des mutations technologiques rapides vous assurez la qualité, l’exhaustivité, la visibilité et l’accessibilité des données gérées par votre service et êtes moteur de la transformation Digitale.

Rattaché (e ) au responsable d’équipe Industrial Data, au sein d’une équipe d’environ dix personnes travaillant sur des projets Data Sciences, vos principales missions sont les suivantes :",4.0,"TotalEnergies
4.0",Courbevoie,Plus de 10 000 employés,1924,Entreprise cotée en bourse,Énergie,"Pétrole, gaz, énergie et services publics",Entre 25 et 50 millions de dollars US
Audio data scientist,Salaire fourni par l'employeur:35 k € - 60 k €,"Vous aimez les nouvelles technologies et les technologies audio en particulier? Venez rejoindre une équipe d’experts de haut niveau appliquant les technologies de machine learning pour le traitement sonore.
Afin de développer son offre d’application d’outils de reconnaissance sonore, Wavely recherche un data scientist pour rejoindre son équipe technique. Celle-ci est dédiée au développement d’algorithmes de reconnaissance et de classification automatique des signaux sonores pour les intégrer au sein de capteurs acoustiques. Au sein de cette équipe :
Vous développez des outils de traitement du signal temps-réel pour la détection et la classification d’événements acoustiques.",4.5,"Wavely SAS
4.5",Villeneuve-d'Ascq,De 1 à 50 employés,2016,Entreprise non cotée en bourse,Solutions logicielles et réseau d''entreprise,Informatique,Ne sait pas / non applicable
"Data Scientist, Product",-1,"As a Data Scientist at Facebook, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By applying your technical skills, analytical mindset, and product intuition to one of the richest data sets in the world, you will help define the experiences we build for billions of people and hundreds of millions of businesses around the world. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Research, Data Engineering, Marketing, Sales, Finance and others. You will use data and analysis to identify and solve product development’s biggest challenges. You will influence product strategy and investment decisions with data, be focused on impact, and collaborate with other teams. By joining Facebook, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.
Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the products we build bring value to people, businesses, and Facebook. You will help your partner teams prioritize what to build, set goals, and understand their product’s ecosystem.
Analytics: You will guide teams using data and insights. You will focus on developing hypotheses and employ a diverse toolkit of rigorous analytical approaches, different methodologies, frameworks, and technical approaches to test them.
Communication and influence: You won’t simply present data, but tell data-driven stories. You will convince and influence your partners using clear insights and recommendations. You will build credibility through structure and clarity, and be a trusted strategic partner.",4.3,"Facebook App
4.3",Télétravail,Plus de 10 000 employés,2004,Entreprise cotée en bourse,Internet,Informatique,Entre 5 et 10 milliards de dollars US
Data Scientist,33 k € - 40 k € (Esti. de Glassdoor),"Gather and analyze customer needs to propose solutions
Conduct statistical studies
Conduct research to propose new machine learning models to improve the results of predictive and imaging models
Work with all team members to prototype and develop new services
Provide deliverables such as PoCs, presentations, and technical papers.
yöu
Master's degree in engineering, computer science, statistics or mathematics.",3.7,"umlaut AG
3.7",Toulouse,De 1 001 à 5 000 employés,1996,Entreprise non cotée en bourse,Conseils,Services aux entreprises,Ne sait pas / non applicable
CONSULTANT EXPÉRIMENTÉ DATA SCIENCE H/F,-1,"Pourquoi devenir Consultant Expérimenté Data Science H/F chez KPMG ?
Avec 200 consultants au sein de notre centre d’excellence données en France et un réseau mondial de plus de 14000 personnes, Lighthouse, notre équipe Data Analytics accompagne des grands comptes internationaux dans leurs projets de transformation centrés sur la donnée, en développant des modèles de machine learning avancés, et en aidant nos clients à mener leur transformation Data Analytics.
Pour faire face aux besoins de nos clients et accompagner notre développement, KPMG Data Analytics cherche à renforcer ses effectifs, et recrute un Data Analyst Senior, intéressé par le développement d’applications, spécialiste de l’analyse de données, des retraitements de données et de la visualisation, et dotés d’une forte sensibilité métier.",3.9,"KPMG
3.9",Paris,Plus de 10 000 employés,Entreprise cotée en bourse,Ne sait pas / non applicable,-1,-1,-1
Data Analyst-FIAT,43 k € - 55 k € (Esti. de Glassdoor),"Binance is the global blockchain company behind the world’s largest digital asset exchange by trading volume and users, serving a greater mission to accelerate cryptocurrency adoption and increase the freedom of money.

Are you looking to be a part of the most influential company in the blockchain industry and contribute to the crypto-currency revolution that is changing the world?
Responsibilities:
Working closely with different stakeholders (e.g. Operation, Business, Product, etc.) to develop analyses that lead to actionable business or product insights",3.8,"Binance
3.8",Paris,De 1 001 à 5 000 employés,2017,Entreprise non cotée en bourse,Internet,Informatique,Entre 500 millions et 1 milliard $ (USD)
Data Scientist Deep Learning (F/M/X) - CDI,35 k € - 40 k € (Esti. de Glassdoor),"Jellysmack is the global creator company that detects and develops the world's most talented video creators on social media. We're an optimistic crew who naturally goes the extra mile, has a glass-half-full mindset, and sees challenges as opportunities. We look for positive people who think outside the box, are inventive, bold, lead change, and believe that teamwork matters.
Team culture:
Our job is to take numbers and turn them into reasons to celebrate! Data drives everything we do at Jellysmack and is thus essential to the company. Data is at the heart of our success, and it drives the content we create and how we edit videos so we can optimize everything we publish. Everyone on our team is capable of going above and beyond the call of duty. Our goal is to gather and analyze data to help the company grow. Do you have what it takes to be part of our team?",4.1,"Jellysmack
4.1",France,De 501 à 1 000 employés,2016,Entreprise non cotée en bourse,Internet,Informatique,Ne sait pas / non applicable
