Job Title,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,Employer Provided,min salary,max salary,avg salary,State,Age,Python,R,SQL,Machine Learning,Big Data,Statistique,Math,Master,AWS
Data Analyst-FIAT,"Binance is the global blockchain company behind the world’s largest digital asset exchange by trading volume and users, serving a greater mission to accelerate cryptocurrency adoption and increase the freedom of money.

Are you looking to be a part of the most influential company in the blockchain industry and contribute to the crypto-currency revolution that is changing the world?
Responsibilities:
Working closely with different stakeholders (e.g. Operation, Business, Product, etc.) to develop analyses that lead to actionable business or product insights",3.8,"Binance
",Paris,De 1 001 à 5 000 employés,2017,Entreprise non cotée en bourse,Internet,Informatique,Entre 500 millions et 1 milliard $ (USD),0,0,43,55,49.0,Paris,5,0,1,0,0,0,0,0,0,0
Data Scientist NLP (F/M/X) - CDI,"Jellysmack is the global creator company that detects and develops the world's most talented video creators on social media. We're an optimistic crew who naturally goes the extra mile, has a glass-half-full mindset, and sees challenges as opportunities. We look for positive people who think outside the box, are inventive, bold, lead change, and believe that teamwork matters.
Team culture:
Our job is to take numbers and turn them into reasons to celebrate! Data drives everything we do at Jellysmack and is thus essential to the company. Data is at the heart of our success, and it drives the content we create and how we edit videos so we can optimize everything we publish. Everyone on our team is capable of going above and beyond the call of duty. Our goal is to gather and analyze data to help the company grow. Do you have what it takes to be part of our team?",4.1,"Jellysmack
",France,De 501 à 1 000 employés,2016,Entreprise non cotée en bourse,Internet,Informatique,Ne sait pas / non applicable,0,0,35,40,37.5,France,6,0,0,0,0,0,0,0,0,0
#AGGP – Graduate Digital Master Data & Controlling Data Analyst (M/F),"Job Description:
Start date October 3rd 2022
Every year we look for university graduates from around the world to join Airbus. We need people with the aspiration, enthusiasm and the talent to help us move forward and to change the world and deliver our vision to pioneer sustainable aerospace for a safe and united world.
When you begin your career with us, we accelerate your development through our Airbus Global Graduate Experience. You are part of a 2 year programme where you develop your professional skills, build your networks, locally and internationally, and gain a unique perspective on the world of Airbus. You are part of a global community, so we bring you together once a year for a global graduate conference where you meet your peers, hear from our leaders and learn from the best.
We are hiring the graduates we need to fill the critical roles for our future.
AIRBUS SAS
Permanent Contract / CDI / Unbefristet / Contrato indefinido
Entry Level / Débutant / Anfänger / Recién titulado
Financial Expertise <JF-FI-FE>",4.1,"Airbus
",Toulouse,Plus de 10 000 employés,1970,Entreprise cotée en bourse,Aérospatiale et Défense,Aérospatiale et Défense,Plus de 10 milliards de dollars US,0,0,35,40,37.5,Toulouse,52,0,1,0,0,0,0,0,0,0
Data analyste,"Description
vrai plus, c’est que cette communauté est sans frontières ! Nos collaborateurs travaillent au quotidien avec tous les métiers et avec notre réseau international. Et pour être au top de l’innovation, on a ce qui se fait de mieux en matière d’environnement de travail et d’outils technos : datalab, delta room, intelligence artificielle, machine learning…
Résultats ? Une activité multipliée par 2 en 3 ans (et ce n’est pas fini), une expertise reconnue et une position de leader en France.
Bienvenue au cœur du big bang !
Le Centre de Services Data Management
Tu souhaites monter en compétences sur le traitement de datas ? Et si tu rejoignais le centre dédié à l’analyse de données/data management de PwC ?

L’équipe SODA basée à Montpellier est un Centre de Services Data Management d’une cinquantaine de collaborateurs en période de pic d’activité pour une moyenne de 40 à 45 collaborateurs, principalement composée Data Analystes et complétée par des développeurs de haut niveau.
Tout au long de l’année, SODA accompagne les équipes Audit PwC dans l’efficacité et la qualité des missions en proposant des services de traitement des données.",3.8,"PwC
",Montpellier,Plus de 10 000 employés,1998,Entreprise non cotée en bourse,Conseils,Services aux entreprises,Entre 5 et 10 milliards de dollars US,0,0,35,40,37.5,Montpellier,24,0,1,0,1,0,0,0,0,0
Data Scientist confirmé(e) H/F,"Systèmes d'Information
PAU-CSTJF(FRA)
France
Description du poste
TotalEnergies recherche un(e) Data Scientist confirmé(e). Le poste est basé à Pau.

Vous travaillez au sein du département Data Valorisation de TotalEnergies Global Information Technology Services (TGITS), le centre de services mutualisés Système d'information de TotalEnergies.

Dans un contexte de mutation technologique rapide et de transformation digitale de la Compagnie vous développez des modèles machine learning et deep learning sur des données telles que des images sismiques, des données time series d’équipements de mesure industrielle, ou des rapports d'études.

Au sein du DataLab, équipe pluridisciplinaire travaillant exclusivement sur des projets Data Sciences, vos principales missions sont les suivantes :",4.0,"TotalEnergies
",Pau,Plus de 10 000 employés,1924,Entreprise cotée en bourse,Énergie,"Pétrole, gaz, énergie et services publics",Entre 25 et 50 millions de dollars US,0,0,35,40,37.5,Pau,98,0,1,0,1,0,0,0,0,0
Data Analyst H/F,"« SAFTI, ça le fait ! », vous avez probablement entendu ça quelque part…

Depuis 2015 SAFTI mène de puissantes campagnes télévisées sur les plus grandes chaînes : TF1, M6, BFM TV, etc.

Créé en 2010, autour d’un concept novateur, SAFTI a réinventé le domaine de l’immobilier en ayant fait le pari de l’absence d’agence physique à la faveur d’un maillage du territoire par des conseillers en immobilier, exerçant depuis leur domicile grâce aux nouvelles technologies.

SAFTI est ainsi devenu en moins de 10 ans l’un des acteurs majeurs du marché de l’immobilier en France :",4.1,"Safti siège
",Toulouse,De 1 001 à 5 000 employés,2010,Entreprise non cotée en bourse,Immobilier,Immobilier,Ne sait pas / non applicable,0,0,35,40,37.5,Toulouse,12,0,0,0,0,0,0,0,0,0
Data analyste & coordinateur Pacte Eco Efficace PEE F/H,"Stratégie Economie Business, Systèmes d'Information, Commerce
COURBEVOIE(PLD)-MISSION MARCHAND(FRA)
France
Description du poste
Vous souhaitez concilier la force d'un grand Groupe et l'agilité d'une petite entreprise ? Rejoignez TotalEnergies Lubrifiants Services Automobile, filiale à taille humaine, agile et performante !

Nous recrutons un(e) Data Analyste Marketing et coordinateur Pacte Eco Efficace PEE F/H afin de rejoindre le département Marketing de TotalEnergies Lubrifiants Services Automobile - TLSA

En relation constante avec sa hiérarchie, TEMF et les différents prestataires, le Data Analyste assure la mise en place, la gestion et le suivi des campagnes de signatures CEE et la valorisation des cumacs.et réalise des études de marketing stratégiques visant à améliorer notre offres",4.0,"TotalEnergies
",Courbevoie,Plus de 10 000 employés,1924,Entreprise cotée en bourse,Énergie,"Pétrole, gaz, énergie et services publics",Entre 25 et 50 millions de dollars US,0,0,35,40,37.5,Courbevoie,98,0,1,0,0,0,0,0,0,0
Data Analyst,"Description de l'entreprise*
Qui sommes-nous ?*
Ysance est une société spécialisée dans la data créée en 2005. Nous faisons partie du groupe Devoteam, leader du conseil en stratégie digitale, plateformes technologiques et cybersécurité.
Nous sommes organisés en deux communautés très complémentaires : Tech for Data (engineering & architecture) et Data for Business (data science, viz, data analytics). Nos équipes accompagnent les entreprises pour faire de la data un accélérateur business. Cet accompagnement couvre à la fois les problématiques de gestion de la data dans des environnements « on premise » mais également un fort savoir-faire dans les sujets de move to cloud ; Ysance s’appuyant sur les capacités de* Devoteam, leader sur le cloud avec des partenariats de référence sur GCP, AWS, Azure, …*
Dans le cadre de notre développement, nous renforçons nos équipes !

Ysance a développé un programme solide de formations & certifications (partenariats avec …), notamment sur les technologies cloud (, …)
Ysance intervient dans de (Retail, luxe, média, télécoms, banque, industrie, …) pour des grands comptes internationaux
La garantie d’intervenir sur des sujets précis au cœur de votre expertise
Ysance c’est avant tout une bénéficiant de* l’écosystème d’un grand groupe*",3.6,"Ysance
",Levallois-Perret,De 51 à 200 employés,2007,Entreprise non cotée en bourse,-1,-1,-1,0,0,35,40,37.5,Levallois-Perret,15,0,1,0,0,0,0,0,0,1
Data Analyst - Environnement,"Afin de continuer le développement de notre structure spécialisé dans l’accompagnements de collectivités ou d’acteurs privés de la gestion des déchets, nous recherchons un(e) chef(fe) de projets data pour apporter cette compétence au sein de notre équipe.
Vous rejoindrez une équipe pluridisciplinaire et serez amené(e) à gérer et/ou accompagner des projets dans le secteur porteur l’économie circulaire plus particulièrement lié à la collecte des déchets.
Alors si vous souhaitez mettre vos compétences techniques au service de projets qui ont du sens, ce poste est fait pour vous !!

Vous serez ainsi en charge de :",3.3,"Groupe Berto
",Aix,De 1 001 à 5 000 employés,1963,Entreprise non cotée en bourse,Camionnage,Transport et logistique,Entre 100 et 500 millions de dollars US,0,0,35,40,37.5,Aix,59,0,0,0,0,0,0,0,0,0
Data Scientist - FRANFINANCE-(H/F),"Vos missions au quotidien
Au sein de la Direction Datascience Marketing et Modélisation de la Division du Financement aux Particuliers, qui produit et distribue des crédits et des services auprès de particuliers en direct ou par l’intermédiaire de partenaires (distributeurs, assureurs, banquiers et fintech), vous rejoignez le pôle Datascience et Risque en tant que Data Scientist.
Le Data Scientist aura la charge de :
Assurer et faire évoluer nos reportings distribués aux différentes directions de FRANFINANCE (risque, finance, recouvrement, marketing) et à nos partenaires",3.9,"Franfinance
",Nanterre,Plus de 10 000 employés,1864,Entreprise non cotée en bourse,Investissements bancaires et gestion d''actifs,Finances,Plus de 10 milliards de dollars US,0,0,35,40,37.5,Nanterre,158,0,1,0,0,0,0,0,0,0
Data Scientist II,"JOB DESCRIPTION
At Levi Strauss & Co, we are revolutionizing the apparel business and redefining the way denim is made.

We are taking one of the world’s most iconic brands into the next century:
from creating machine learning-powered denim finishes to using block-chain for our factory workers’ wellbeing, to building algorithms to better meet the needs of our consumers and optimize our supply chain.

Be a pioneer in the fashion industry by joining our global Data, Analytics & AI “startup with “assets,” where you will have the chance to build exciting solutions that will impact our business and at the same time be part of a bigger, across-continents, data science community.

As a P romotion Data Scientist you will be a key part of the Data, Analytics and AI team and will create advanced analytics, machine learning, and AI solutions to better solve Pricing and Promo problems while streamlining our processes and approaching the business in more innovative ways.

In this role, you will translate the needs of our cross-functional stakeholders into predictive models and actionable insights that will drive revenue and/or reduce cost, with emphasis on automation and business process improvement.

You will contribute to the global Data, Analytics & AI community, share your knowledge and leverage other colleagues’ experience.

About the job





Paris, France
Full time",3.3,"Levi Strauss & Co.
",Paris,Plus de 10 000 employés,1853,Entreprise cotée en bourse,"Magasins de chaussures, de vêtements et grands magasins",Vente au détail,Entre 2 et 5 milliards de dollars US,0,0,35,40,37.5,Paris,169,0,1,0,1,0,0,0,0,0
Data scientist,"DATA SCIENTIST H/F
MARSEILLE (13) – WITMONKI SAS
Publiée le : 01/07/2019
RESUME DE L'OFFRE
Type de contrat CDD
Lieu MARSEILLE (13)
Type d’offre Industrie
Expérience requise 2 ans",-1.0,WitMonki,Marseille,-1,-1,-1,-1,-1,-1,0,0,35,40,37.5,Marseille,-1,0,1,0,0,0,0,0,0,0
Data Scientist F/H,"Data Scientist F/H
Ref. Apec : 167730138W
UMLAUT
2
CDI
Blagnac - 31
Publiée le 24/02/2022
Actualisée le 24/02/2022
Salaire
A négocier",3.7,"UMLAUT
",Blagnac,De 1 001 à 5 000 employés,1996,Entreprise non cotée en bourse,Conseils,Services aux entreprises,Ne sait pas / non applicable,0,0,35,40,37.5,Blagnac,26,0,1,0,0,0,0,0,0,0
Data scientist Junior F/H,"L'entreprise

Leader de son marché, le Groupe PRIMEVER développe des solutions dans les domaines du transport et de la logistique auprès de ses clients, concentrés sur deux secteurs d’activités particuliers : Le primeur (fruits/légumes) et l’industriel.
Rejoindre PRIMEVER, c’est intégrer un Groupe familial de plus de 2500 collaborateurs, 50 sites, fort de ses valeurs et en plein développement grâce à l’implication quotidienne de son personnel.
Rejoignez-nous !",3.4,"Réseau Primever France
",Agen,De 1 001 à 5 000 employés,1963,Entreprise non cotée en bourse,-1,-1,-1,0,0,35,40,37.5,Agen,59,0,1,0,0,0,0,0,0,0
Data Scientist F/H,"Chez CBA, on a envie de t’étonner et de t’assurer qu’avec nous tu seras bien entouré.e, plongé.e dans un esprit « start up » où se mêle challenges, créa et bonne humeur. Tu es passionné.e, ça tombe bien nous aussi !

Dans le cadre de notre croissance, nous recherchons notre Data Scientist F/H pour intégrer notre Team Produit.

En quoi consiste la mission ?

Rattaché.e au Directeur Produit, ta mission, si tu l’acceptes, sera de recueillir, traiter et analyser les données ""Big Data"" afin d'accompagner les décisions stratégiques et opérationnelles de CBA.

Concrètement, voici les missions qi t'attendent :
Un peu plus de détails sur le contrat ?

Si tu rejoins l’aventure CBA, nous te proposons un poste en CDI ainsi que des avantages et services non négligeables, dont, mutuelle, tickets restaurant, activités CSE, une belle participation, des cours de sport, des ateliers bien-être et plusieurs événements « fun » tout au long de l’année pour renforcer la cohésion d’équipe et partager les savoirs.

Côté technique, nous t'accompagnons en mettant à ta disposition les formations nécessaires pour assurer ta parfaite adaptation à notre écosystème, nos outils et nos pratiques mais aussi pour participer à ta montée en compétences.


- Méthodologie SCRUM et outils associés",3.7,"CBA Informatique Libérale
",Avignon,De 51 à 200 employés,1994,Entreprise non cotée en bourse,-1,-1,-1,0,0,35,40,37.5,Avignon,28,0,1,0,0,1,0,0,0,0
Data Analyst Junior (H/F),"Pour renforcer la capacité de Winamax à exploiter et faire parler les données relatives à nos clients et à nos activités poker et paris sportifs, nous recrutons un Data Analyst Junior (H/F).
Au sein de l’équipe Customer Relationship Management et sous la responsabilité du CRM manager, tu as un rôle clé dans valorisation et le partage de la donnée clients et produits en interne.
Tu as un réel intérêt pour les problématiques business / marketing et tu souhaites approfondir une première expérience réussie en data analysis.
Tes missions seront de :
Comprendre les comportements clients dans le but d’en tirer des enseignements à forte valeur ajoutée,",4.2,"Winamax
",Paris,Entre 201 et 500 employés,2006,Entreprise non cotée en bourse,Jeux d''argent,"Arts, spectacles et loisirs",Entre 100 et 500 millions de dollars US,0,0,35,40,37.5,Paris,16,0,1,0,0,0,0,0,0,0
Analyste Data et Business H/F,"Systèmes d'Information, Commerce
PARIS-RUE LOUIS ARMAND(FRA)
France
Description du poste
Rattaché(e) à la Performance Opérationnelle du Centre de Services des activités B2C, vous prenez en charge les missions suivantes :
Construire et optimiser des outils d’analyses et de pilotage des ventes B2C sur Qlik Sense (rapports de ventes, caractéristiques clients, suivi des options, états de rémunération, contrôle qualité…) :
o Recueillir les besoins du Métier",4.0,"TotalEnergies
",Paris,Plus de 10 000 employés,1924,Entreprise cotée en bourse,Énergie,"Pétrole, gaz, énergie et services publics",Entre 25 et 50 millions de dollars US,0,0,35,40,37.5,Paris,98,0,1,0,0,0,0,0,0,0
Data Scientist & Mapping Specialist (m/f),"Job Description:
Job description
Embedded in the Geospatial Solution Development team, the Data Scientist & Mapping is responsible for the end-to-end development, specification, monitoring and maintenance of satellite data science workflows and processing algorithms/ analytics, addressing diverse use cases in multiple verticals market. This position is open in TOULOUSE, France.
As Data Scientist & Mapping Specialist you will define and deliver the foundation layers of the 2D and 3D environment, generate topographic maps and vector database leveraging high-end satellite data and derive thematic maps such as aeronautical obstacles, land use to fuel our existing and future geospatial solutions addressing commercial and defence use cases (air mobility, low level flights, simulation, eTOD, land management, urban planning, green islands, environmental impact assessment & monitoring, etc..
Airbus DS Geo SA
Permanent Contract / CDI / Unbefristet / Contrato indefinido
Professional / Expérimenté(e) / Professionell / Profesional
Information Mgmt and Digital Technology <JF-IM-DI>",4.1,"Airbus
",Toulouse,Plus de 10 000 employés,1970,Entreprise cotée en bourse,Aérospatiale et Défense,Aérospatiale et Défense,Plus de 10 milliards de dollars US,0,0,35,40,37.5,Toulouse,52,0,0,0,0,0,0,0,0,0
Ingénieur Data Science H/F,"Type de contrat :
CDI

Niveau de formation :
BAC +4 / BAC +5

Spécialité(s) :
Recherche & Développement

Pays / Région :
France

Ville :
PALAISEAU",4.0,"EDF
",Palaiseau,Plus de 10 000 employés,1946,Entreprise cotée en bourse,Énergie,"Pétrole, gaz, énergie et services publics",Plus de 10 milliards de dollars US,0,0,35,40,37.5,Palaiseau,76,0,1,0,0,0,0,0,0,0
Data Scientist Time Series (F/M/X) - CDI,"Jellysmack is the global creator company that detects and develops the world's most talented video creators on social media. We're an optimistic crew who naturally goes the extra mile, has a glass-half-full mindset, and sees challenges as opportunities. We look for positive people who think outside the box, are inventive, bold, lead change, and believe that teamwork matters.
Team culture:
Our job is to take numbers and turn them into reasons to celebrate! Data drives everything we do at Jellysmack and is thus essential to the company. Data is at the heart of our success, and it drives the content we create and how we edit videos so we can optimize everything we publish. Everyone on our team is capable of going above and beyond the call of duty. Our goal is to gather and analyze data to help the company grow. Do you have what it takes to be part of our team?",4.1,"Jellysmack
",France,De 501 à 1 000 employés,2016,Entreprise non cotée en bourse,Internet,Informatique,Ne sait pas / non applicable,0,0,35,40,37.5,France,6,0,0,0,0,0,0,0,0,0
Data analyst campagne publicitaire Pinterest à Lisbonne (f/h/x),"Vous êtes francophone, passionné par le marketing digital et avez un esprit analytique ? Travaillez avec Pinterest et lancez-vous dans ce nouveau défi !
En tant qu’analyste publicitaire, votre rôle sera d'analyser les données des campagnes marketing numérique de notre client dans le but d’optimiser leur profit.
Vous travaillerez sur le marché français et contribuerez à créer une meilleure expérience pour les utilisateurs. Êtes-vous prêt ?

Notre Client
Pinterest constitue le meilleur moteur de recherche visuelle dans le monde utilisé par plus de 300 millions de personnes. C'est une plateforme de partage d'idées et de créativité et aussi, l'endroit idéal pour trouver les produits et les marques les plus innovants, trouver l'inspiration et rêver.",3.9,"Teleperformance Portugal
",France,Plus de 10 000 employés,1978,Entreprise cotée en bourse,Recrutement et sous-traitance,Services aux entreprises,Entre 5 et 10 milliards de dollars US,0,0,35,40,37.5,France,44,0,0,0,0,0,0,0,0,0
Alehos Services - Data Analyst performance - H/F,"Présentation du Groupe

Air Liquide est un leader mondial des gaz, technologies et services pour l’industrie et la santé. Présent dans 80 pays avec environ 67 000 collaborateurs, le Groupe sert plus de 3,7 millions de clients et de patients. Oxygène, azote et hydrogène sont des petites molécules essentielles à la vie, la matière et l’énergie. Elles incarnent le territoire scientifique d’Air Liquide et sont au cœur du métier du Groupe depuis sa création en 1902.
Air Liquide a pour ambition d’être un leader de son industrie, d’être performant sur le long terme et de contribuer à un monde plus durable.
Air Liquide place la diversité au cœur de ses activités et s'engage notamment en favorisant l’égalité professionnelle et l’emploi des travailleurs en situation de handicap.









Job Reference: FR13911",3.8,"Air Liquide
",Aix,Plus de 10 000 employés,1902,Entreprise cotée en bourse,Fabrication de produits chimiques,Fabrication,Plus de 10 milliards de dollars US,0,0,35,40,37.5,Aix,120,0,1,0,0,0,0,0,0,0
